t,signal_state,EW_approaching,NS_approaching
19.8,NS_GREEN,1,2
19.9,NS_GREEN,1,1
20.0,NS_GREEN,1,1
20.1,NS_GREEN,1,1
20.2,NS_GREEN,1,1
20.3,NS_YELLOW,1,1
20.4,NS_YELLOW,1,1
20.5,NS_YELLOW,1,1
20.6,NS_YELLOW,1,1
20.7,NS_YELLOW,1,1
20.8,NS_YELLOW,1,1
20.9,NS_YELLOW,1,1
21.0,NS_YELLOW,1,1
21.1,NS_YELLOW,1,1
21.2,NS_YELLOW,1,1
21.3,NS_YELLOW,1,1
21.4,NS_YELLOW,1,1
21.5,NS_YELLOW,1,1
21.6,NS_YELLOW,1,1
21.7,NS_YELLOW,1,1
21.8,NS_YELLOW,1,1
21.9,NS_YELLOW,0,1
22.0,NS_YELLOW,0,1
22.1,NS_YELLOW,0,1
22.2,NS_YELLOW,0,1
22.3,NS_YELLOW,0,1
22.4,NS_YELLOW,0,1
22.5,NS_YELLOW,0,1
22.6,NS_YELLOW,0,1
22.7,NS_YELLOW,0,1
22.8,NS_YELLOW,0,1
22.9,NS_YELLOW,0,1
23.0,NS_YELLOW,0,1
23.1,NS_YELLOW,0,1
23.2,NS_YELLOW,0,1
23.3,ALL_RED,0,1
23.4,ALL_RED,0,1
23.5,ALL_RED,0,1
23.6,ALL_RED,0,1
23.7,ALL_RED,0,1
23.8,ALL_RED,0,1
23.9,ALL_RED,0,1
24.0,ALL_RED,0,1
24.1,ALL_RED,0,1
24.2,ALL_RED,0,0
24.3,ALL_RED,0,0
24.4,NS_GREEN,0,0
24.5,NS_GREEN,0,0
24.6,NS_GREEN,0,0
24.7,NS_GREEN,0,0
24.8,NS_GREEN,0,0
24.9,NS_GREEN,0,0
25.0,NS_GREEN,0,0
25.1,NS_GREEN,0,0
25.2,NS_GREEN,0,0
25.3,NS_GREEN,0,0
25.4,NS_GREEN,0,0
25.5,NS_GREEN,0,0
25.6,NS_GREEN,0,0
25.7,NS_GREEN,0,0
25.8,NS_GREEN,0,0
25.9,NS_GREEN,0,0
26.0,NS_GREEN,0,0
26.1,NS_GREEN,0,0
26.2,NS_GREEN,0,0
26.3,NS_GREEN,0,0
26.4,NS_GREEN,0,0
26.5,NS_GREEN,0,0
26.6,NS_GREEN,0,0
26.7,NS_GREEN,0,0
26.8,NS_GREEN,0,0
26.9,NS_GREEN,0,0
27.0,NS_GREEN,0,0
27.1,NS_GREEN,0,0
27.2,NS_GREEN,0,0
27.3,NS_GREEN,0,0
27.4,NS_GREEN,0,0
27.5,NS_GREEN,0,0
27.6,NS_GREEN,0,0
27.7,NS_GREEN,0,0
27.8,NS_GREEN,0,0
27.9,NS_GREEN,0,0
28.0,NS_GREEN,0,0
28.1,NS_GREEN,0,0
28.2,NS_GREEN,0,0
28.3,NS_GREEN,0,0
28.4,NS_GREEN,0,0
28.5,NS_GREEN,0,0
28.6,NS_GREEN,0,0
28.7,NS_GREEN,0,0
28.8,NS_GREEN,0,0
28.9,NS_GREEN,0,0
29.0,NS_GREEN,0,0
29.1,NS_GREEN,0,0
29.2,NS_GREEN,0,0
29.3,NS_GREEN,0,0
29.4,NS_GREEN,0,0
29.5,NS_GREEN,0,0
29.6,NS_GREEN,0,0
29.7,NS_GREEN,0,0
29.8,NS_GREEN,0,0
29.9,NS_GREEN,0,0
30.0,NS_GREEN,0,0
30.1,NS_GREEN,0,0
30.2,NS_GREEN,0,0
